candidate_count=149
  820.0m | enkeltminner | 161210-9 | name=None | loc_art=None | item_art=9926 | dating=000 | vern=FJE | function=1200 | lat=59.757758137391 lon=10.805851917305 | info=Mål 9a:14x17 cm, ovalrund. 9b: 10x10 cm, rund. 9c: 13x14 cm, rund. 9d: 19x13, oval Fire staurhull, klart markerte og avgrenset. Masser i humøs mørk brungrå silt/leire, noe kull. Undergrunn i gulgrå spettet silt.
  870.3m | enkeltminner | 191432-1 | name='A1034' | loc_art=None | item_art=1216 | dating=000 | vern=FJE | function=1200 | lat=59.744528289832 lon=10.808068936224 | info=Sirkulær kokegrop med tydelig kullag og få skjørbrente stein mot lys oransje sand. Kokegropa ligger rett under dyrkingslaget. Den er noe utflytende i sør og i sørvest, sannsynligvis pga. røtter. Mål: 70 cm i diameter. Kokegropa er snittet. Den er veldig grunn, bare 6 cm dyp. Den har tilnærmet flat bunn og avrundet i kantene. Det er bare skjørbrent stein i toppen. Antageligvis er dette bunnen av kokegropa og at den er blitt ødelagt av senere dyrking.
  895.9m | enkeltminner | 161217-1 | name=None | loc_art=None | item_art=1202 | dating=032 | vern=FJE | function=1200 | lat=59.743092777540 lon=10.801547564196 | info=Mål: 0,37 m Ø-V, 0,27 m N-S, avlangt ovalt. Klart markert og avgrenset mot undergrunnen. Massene består av mørk brun humøs silt. Noen små stein i strukturen. Undergrunnen i spettet oransje og grå silt.
  913.6m | lokaliteter  | 100418-1 | name='Nøstvedt' | loc_art=20159 | item_art=None | dating=None | vern=AUT | function=1200 | lat=59.747116664673 lon=10.785325046326 | info=Boplass fra eldre steinalder. I seks prøvestikk ble det til sammenfunnet åtte flintavslag, 12 flintfragmenter og ett kvartsfragment.
  915.7m | enkeltminner | 100418-1 | name='Nøstvedt' | loc_art=None | item_art=1201 | dating=021 | vern=AUT | function=1200 | lat=59.747083977132 lon=10.785319145718 | info=Boplass fra eldre steinalder. I seks prøvestikk ble det til sammenfunnet åtte flintavslag, 12 flintfragmenter og ett kvartsfragment.
  957.5m | lokaliteter  | 89248 | name='Nøstvedt' | loc_art=20159 | item_art=None | dating=None | vern=AUT | function=None | lat=59.747102756233 lon=10.784449839504 | info=Boplassen ligger på en sørvestvendt hellende flate, ca. 15 m i ø-v retning og 35 m i n-s retning, ca. 80-85 moh. Flaten overskjæres av en skogsvei i øst. Den avgrenses i vest av en bratt helling og stup, av brattere og kupert skråning i sør og av berg og kupert skrånende terreng i øst. I nord er flaten uklart avgrensa, men den smalner og blir mer kupert og steinete. Det ble gravd 13 prøvestikk hvorav 5 var positive. Det ble funnet fragmenter og avslag av flint, en knakkestein, og en slått bergkrystall, et bergartsavslag og en knakkestein. lokaliteten er ca. 500 kvadratmeter. Kontrollregistrering 2015: Veien over lokaliteten er oppgradert og i den forbindelse er det fylt på masser 10 m mot ve
 1001.4m | enkeltminner | 174338-1 | name=None | loc_art=None | item_art=9926 | dating=021 | vern=AUT | function=9900 | lat=59.758605754303 lon=10.789748926408 | info=Steinalderlokalitet
 1001.5m | lokaliteter  | 174338-1 | name=None | loc_art=20159 | item_art=None | dating=None | vern=AUT | function=9900 | lat=59.758606685872 lon=10.789749093795 | info=Steinalderlokalitet
 1003.3m | enkeltminner | 79013-1 | name='Nøstvet' | loc_art=None | item_art=1201 | dating=020 | vern=AUT | function=1200 | lat=59.759965875069 lon=10.802822399786 | info=I prøvestikk ble funnet 1 flintavslag, kokstein og flere kullbiter. Kontrollregistrering 2017: Kulturminnet ligger på en liten flate i lett nordlig hellende terreng. Det er åpent mot nord og vest, mens terrenget stiger i sør og øst. I øst er det en bergvegg som avgrenser hogstavfall i sør og langs bergveggen i øst, her er det også hauger med kompostert materiale. Opprinnelig kun et positivt prøvestikk. Det ble satt tre prøvestikk ved kontrollregisteringen, i nord, vest og sør, alle negative. Lokaliteten har blitt gitt avgrensning etter disse negative prøvestikkene sammen med bergveggen i øst. I vest, innenfor lokaliteten, går det en vei. Her er det påfylte masser og prøvestikk viste hardpakk
 1005.8m | lokaliteter  | 79013-1 | name='Nøstvet' | loc_art=20159 | item_art=None | dating=None | vern=AUT | function=1200 | lat=59.759988233002 lon=10.802826441581 | info=I prøvestikk ble funnet 1 flintavslag, kokstein og flere kullbiter. Kontrollregistrering 2017: Kulturminnet ligger på en liten flate i lett nordlig hellende terreng. Det er åpent mot nord og vest, mens terrenget stiger i sør og øst. I øst er det en bergvegg som avgrenser hogstavfall i sør og langs bergveggen i øst, her er det også hauger med kompostert materiale. Opprinnelig kun et positivt prøvestikk. Det ble satt tre prøvestikk ved kontrollregisteringen, i nord, vest og sør, alle negative. Lokaliteten har blitt gitt avgrensning etter disse negative prøvestikkene sammen med bergveggen i øst. I vest, innenfor lokaliteten, går det en vei. Her er det påfylte masser og prøvestikk viste hardpakk
 1043.6m | lokaliteter  | 174581-1 | name='Nøstvedt' | loc_art=20159 | item_art=None | dating=None | vern=IKKEV | function=9900 | lat=59.757894739833 lon=10.786767851883 | info=
 1057.4m | lokaliteter  | 11442-1 | name='Nøstvet' | loc_art=20159 | item_art=None | dating=None | vern=AUT | function=1200 | lat=59.759263897521 lon=10.809249668571 | info=4 flintavslag og 1 mikroflekke funnet ved første prøvestikk på stedet og det ble ikke tatt ytterligere prøvestikk.
 1062.0m | enkeltminner | 11442-1 | name='Nøstvet' | loc_art=None | item_art=1201 | dating=020 | vern=AUT | function=1200 | lat=59.759309000003 lon=10.809257825830 | info=4 flintavslag og 1 mikroflekke funnet ved første prøvestikk på stedet og det ble ikke tatt ytterligere prøvestikk.
 1090.1m | enkeltminner | 21319-1 | name='Nøstvet' | loc_art=None | item_art=1201 | dating=020 | vern=UAV | function=1200 | lat=59.759993578190 lon=10.807747099981 | info=Funn av 2 flintavslag og 3 kullbiter ca 15cm under torva der det var et ca 20cm tykt kulturlag.
 1097.3m | lokaliteter  | 21319-1 | name='Nøstvet' | loc_art=20159 | item_art=None | dating=None | vern=UAV | function=1200 | lat=59.760061493905 lon=10.807759383208 | info=Funn av 2 flintavslag og 3 kullbiter ca 15cm under torva der det var et ca 20cm tykt kulturlag.
 1103.3m | enkeltminner | 191400-6 | name='A2038' | loc_art=None | item_art=1226 | dating=000 | vern=FJE | function=1200 | lat=59.743209991884 lon=10.787633342720 | info=Ovalt stolpehull med fyllmasse av mørk grå siltig leire og noe kull. Steiner i ytterkant av fyllskiftet. Mål: 65x60 cm.
 1139.5m | enkeltminner | 161212-1 | name=None | loc_art=None | item_art=1202 | dating=044 | vern=FJE | function=1200 | lat=59.740940619250 lon=10.802415219601 | info=Mål: 0,6 m N-S, 0,45 m Ø-V. Klart markert, noe uklart avgrenset. Masser i humøs gråbrun silt. Et plogspor går gjennom strukturens ytterkant i vest. Undergrunn i spettet grå og oransje silt. Kullprøve er tatt ut NØ i strukturen.
 1147.7m | lokaliteter  | 174599-1 | name=None | loc_art=20159 | item_art=None | dating=None | vern=IKKEV | function=9900 | lat=59.760661283516 lon=10.791931794957 | info=
 1172.1m | enkeltminner | 174581-1 | name='Nøstvedt' | loc_art=None | item_art=9903 | dating=021 | vern=IKKEV | function=9900 | lat=59.759530420529 lon=10.787063108981 | info=
 1224.8m | lokaliteter  | 174337-1 | name=None | loc_art=20159 | item_art=None | dating=None | vern=AUT | function=9900 | lat=59.761059069992 lon=10.790300739446 | info=Steinalderlokalitet
 1235.8m | enkeltminner | 174337-1 | name=None | loc_art=None | item_art=9926 | dating=021 | vern=AUT | function=9900 | lat=59.761173601826 lon=10.790321418826 | info=Steinalderlokalitet
 1237.0m | enkeltminner | 174599-1 | name=None | loc_art=None | item_art=9903 | dating=021 | vern=IKKEV | function=9900 | lat=59.741482756859 lon=10.788468436308 | info=
 1240.0m | enkeltminner | 174335-1 | name=None | loc_art=None | item_art=9926 | dating=021 | vern=AUT | function=9900 | lat=59.761664726780 lon=10.792569802802 | info=Stenialderlokalitet
 1243.2m | lokaliteter  | 174335-1 | name=None | loc_art=20159 | item_art=None | dating=None | vern=AUT | function=9900 | lat=59.761695279503 lon=10.792575320979 | info=Stenialderlokalitet
 1246.9m | enkeltminner | 72442-23 | name='F17 kokegrop' | loc_art=None | item_art=1216 | dating=073 | vern=AUT | function=1200 | lat=59.760772150876 lon=10.788369436503 | info=Diffus kokegrop, 0,6 m i diameter, kraftig utpløyd, ligger rundt en stor stein.
 1310.4m | lokaliteter  | 174341-1 | name=None | loc_art=20159 | item_art=None | dating=None | vern=AUT | function=9900 | lat=59.761794319391 lon=10.789814663329 | info=Steinalderlokalitet
 1311.9m | enkeltminner | 174341-1 | name=None | loc_art=None | item_art=9926 | dating=021 | vern=AUT | function=9900 | lat=59.761809653766 lon=10.789817431917 | info=Steinalderlokalitet
 1313.8m | enkeltminner | 274796-10 | name='PS9' | loc_art=None | item_art=9926 | dating=021 | vern=AUT | function=None | lat=59.743719585871 lon=10.781271551962 | info=PS 940x40 cm 30 cm T: 10 cm – U: knapt synlig – A: gråbrun humus/sand/grus – B: lysere grå sand/silt. A, ca. 12 cm. 1 flint
 1320.2m | enkeltminner | 174340-1 | name=None | loc_art=None | item_art=9926 | dating=021 | vern=AUT | function=9900 | lat=59.761756598584 lon=10.789246458226 | info=Steinalderlokalitet
 1325.4m | lokaliteter  | 174340-1 | name=None | loc_art=20159 | item_art=None | dating=None | vern=AUT | function=9900 | lat=59.761810394618 lon=10.789256170886 | info=Steinalderlokalitet
 1339.3m | lokaliteter  | 21318-1 | name='Nøstvet' | loc_art=20159 | item_art=None | dating=None | vern=AUT | function=1200 | lat=59.762698354895 lon=10.793222138445 | info=Funnsted for 1 mikroflekke og 1 avslag av flint. Funnet ved systematisk prøvestikking. Innen et område på ca 150x600m og med ca 20 prøvestikk var dette det eneste som var funnførende.
 1357.7m | enkeltminner | 21318-1 | name='Nøstvet' | loc_art=None | item_art=1201 | dating=020 | vern=AUT | function=1200 | lat=59.762873893508 lon=10.793253841707 | info=Funnsted for 1 mikroflekke og 1 avslag av flint. Funnet ved systematisk prøvestikking. Innen et område på ca 150x600m og med ca 20 prøvestikk var dette det eneste som var funnførende.
 1432.3m | lokaliteter  | 11421-1 | name='Vikingland' | loc_art=20159 | item_art=None | dating=None | vern=AUT | function=1200 | lat=59.743690409907 lon=10.778673360828 | info=
 1435.3m | enkeltminner | 11421-1 | name='Vikingland' | loc_art=None | item_art=1201 | dating=020 | vern=AUT | function=1200 | lat=59.743648680148 lon=10.778665832096 | info=
 1578.9m | lokaliteter  | 89249 | name='Nøstvedt' | loc_art=20159 | item_art=None | dating=None | vern=UAV | function=None | lat=59.763006250969 lon=10.784270420677 | info=Boplassen ligger på en liten flate, ca 7 m i NV-SØ lig retning og ca 15 m SV-NØ retning. Det ble gravd ca 35 prøvestikk hvorav fire var positive, 40-45 cm dype.
 1579.4m | enkeltminner | 3408-1 | name='Gl-' | loc_art=None | item_art=9903 | dating=020 | vern=UAV | function=9900 | lat=59.757558906375 lon=10.774496511416 | info=
 1588.8m | lokaliteter  | 3403-1 | name='Gl-' | loc_art=20159 | item_art=None | dating=None | vern=AUT | function=1200 | lat=59.743523619011 lon=10.775542226945 | info=Beskrivelse fra lokalitet: På en fin avrundet og fremstående terrasse i åssiden, med svak V-helling, ble det i 1 prøvestikk i sandig masse funnet: 4 flint avsalg. Aksnr. 90/142. (1989).I tillegg ble det tatt 1 posetivt prøvestikk (2 flint) på boplassflaten 2008. Boplassområdet er topografisk gott avgrenset mot N og S. Åpen mot Ø - V. Utstrekkning: ca 15m Ø-V x 15m N/S. Beskrivelse fra Enkeltminne: PÅ R3403 ble det prøvestikket på nytt. Grunnen til dette er att de tidligere registreringsopplysningerne er mangelfulle, samt att det ikke foreligger noen god topografisk avgrensning av boplassflaten i øst-vestlig retning. (Opprettet i Askeladden 20.11.1989). Boplassområdet ligger ca 85-90 moh på e
